County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Guthrie,Iowa,10-24-2023,WOAH Non-Poultry,50,IA,19077,-94.50111014,41.68378965
Pocahontas,Iowa,10-24-2023,Commercial Turkey Meat Bird,50000,IA,19151,-94.67862564,42.73420133
Blue Earth,Minnesota,10-24-2023,Commercial Turkey Meat Bird,11900,MN,27013,-94.06697737,44.03450234
Clackamas,Oregon,10-23-2024,Commercial Table Egg Layer,150000,OR,41005,-122.2205544,45.18820387
Buena Vista,Iowa,10-23-2023,Commercial Turkey Meat Bird,49100,IA,19021,-95.15100162,42.73545875
Southampton,Virginia,10-22-2022,WOAH Non-Poultry,170,VA,51175,-77.10566044,36.72019409
Ocean,New Jersey,10-22-2022,WOAH Non-Poultry,90,NJ,34029,-74.28147189,39.88494891
Itasca,Minnesota,10-21-2022,WOAH Non-Poultry,40,MN,27061,-93.63162349,47.50907819
Wake,North Carolina,10-21-2022,WOAH Non-Poultry,170,NC,37183,-78.65050164,35.78982367
Cleveland,Oklahoma,10-21-2022,WOAH Non-Poultry,30,OK,40027,-97.3267069,35.20346872
Union,Oregon,10-20-2023,WOAH Poultry,100,OR,41061,-118.0093556,45.31039084
Valley,Idaho,10-20-2022,WOAH Non-Poultry,20,ID,16085,-115.5662454,44.76650867
Creek,Oklahoma,10-20-2022,WOAH Non-Poultry,50,OK,40037,-96.37089402,35.90233119
Newport,Rhode Island,10-20-2022,WOAH Non-Poultry,60,RI,44005,-71.23906841,41.55667416
Hill,Montana,10-20-2022,WOAH Non-Poultry,60,MT,30041,-110.1111845,48.62840165
Dallas,Iowa,10-20-2022,WOAH Non-Poultry,50,IA,19049,-94.03970701,41.68489264
Indian River,Florida,10-20-2022,WOAH Non-Poultry,60,FL,12061,-80.60559316,27.69396994
Spink,South Dakota,10-20-2022,WOAH Non-Poultry,160,SD,46115,-98.34623659,44.93824835
Jefferson,Colorado,10-20-2022,WOAH Poultry,50,CO,8059,-105.2504738,39.58646067
Okeechobee,Florida,10-20-2022,WOAH Non-Poultry,2,FL,12093,-80.88873614,27.3866315
Virginia Beach City,Virginia,10-20-2022,WOAH Non-Poultry,10,VA,,,
Park,Montana,10-19-2023,WOAH Non-Poultry,3,MT,30067,-110.5249953,45.48913245
Becker,Minnesota,10-19-2023,Commercial Breeder Operation,20200,MN,27005,-95.67483556,46.93523736
Spink,South Dakota,10-19-2023,Commercial Turkey Meat Bird,34000,SD,46115,-98.34623659,44.93824835
Rockwall,Texas,10-19-2022,WOAH Non-Poultry,50,TX,48397,-96.40769484,32.89785884
Sanpete,Utah,10-19-2022,Commercial Turkey Meat Bird,9400,UT,49039,-111.5763852,39.37372605
Roberts,South Dakota,10-19-2022,Commercial Breeder Operation,3600,SD,46109,-96.94614272,45.62977349
Shawnee,Kansas,10-19-2022,WOAH Poultry,120,KS,20177,-95.75652721,39.04138192
Redwood,Minnesota,10-18-2023,Commercial Turkey Meat Bird,8900,MN,27127,-95.25398841,44.40365018
Blue Earth,Minnesota,10-18-2023,Commercial Turkey Meat Bird,11500,MN,27013,-94.06697737,44.03450234
Indian River,Florida,10-18-2022,WOAH Non-Poultry,300,FL,12061,-80.60559316,27.69396994
Jackson,Missouri,10-18-2022,WOAH Non-Poultry,40,MO,29095,-94.34603332,39.00926211
Traill,North Dakota,10-18-2022,WOAH Non-Poultry,90,ND,38097,-97.16169937,47.45400419
St. Lucie,Florida,10-18-2022,WOAH Non-Poultry,6,FL,12111,-80.47111892,27.377528
York,Nebraska,10-18-2022,Commercial Upland Gamebird Producer,34900,NE,31185,-97.59710186,40.87272618
Osceola,Florida,10-18-2022,WOAH Non-Poultry,20,FL,12097,-81.14924253,28.06245875
Sanpete,Utah,10-18-2022,Commercial Turkey Meat Bird,100800,UT,49039,-111.5763852,39.37372605
Kitsap,Washington,10-17-2024,WOAH Non-Poultry,60,WA,53035,-122.6734022,47.61342417
Faulk,South Dakota,10-17-2023,Commercial Turkey Meat Bird,49700,SD,46049,-99.14535601,45.07082625
Becker,Minnesota,10-17-2023,Commercial Turkey Breeder Toms,2700,MN,27005,-95.67483556,46.93523736
Mcpherson,South Dakota,10-17-2023,Commercial Turkey Meat Bird,65000,SD,,,
King,Washington,10-17-2023,WOAH Non-Poultry,10,WA,53033,-121.8063614,47.49034831
Nye,Nevada,10-17-2022,WOAH Poultry,1600,NV,32023,-116.47176,38.04212846
Adams,Pennsylvania,10-17-2022,Commercial Turkey Meat Bird,15100,PA,42001,-77.21807609,39.87146641
Tulare,California,10-16-2024,Commercial Broiler Production,786600,CA,6107,-118.8004216,36.22081997
Carter,Oklahoma,10-16-2023,WOAH Non-Poultry,80,OK,40019,-97.28589218,34.25090173
Cache,Utah,10-15-2024,Commercial Table Egg Layer,1852900,UT,49005,-111.743741,41.72255404
Franklin,Washington,10-15-2024,Commercial Table Egg Layer,839700,WA,53021,-118.8984754,46.5350455
La Plata,Colorado,10-14-2022,WOAH Non-Poultry,40,CO,8067,-107.843327,37.28655123
Larimer,Colorado,10-14-2022,WOAH Non-Poultry,20,CO,8069,-105.4615545,40.6665145
Pope,Arkansas,10-14-2022,WOAH Non-Poultry,470,AR,5115,-93.03400145,35.4476948
Tulsa,Oklahoma,10-14-2022,WOAH Non-Poultry,30,OK,40143,-95.94143178,36.12121947
Matanuska Susitna,Alaska,10-14-2022,WOAH Poultry,1000,AK,,,
Broward,Florida,10-14-2022,WOAH Poultry,300,FL,12011,-80.48723143,26.15220703
Golden Valley,North Dakota,10-13-2023,WOAH Non-Poultry,90,ND,38033,-103.8465777,46.94026181
Meeker,Minnesota,10-13-2023,Commercial Turkey Meat Bird,71000,MN,27093,-94.52871063,45.12332877
Flathead,Montana,10-13-2023,WOAH Non-Poultry,8,MT,30029,-114.0497122,48.29520088
Sanpete,Utah,10-13-2022,Commercial Turkey Meat Bird,100000,UT,49039,-111.5763852,39.37372605
Saint Croix,Wisconsin,10-13-2022,WOAH Non-Poultry,20,WI,,,
Warren,New Jersey,10-13-2022,WOAH Non-Poultry,6,NJ,34041,-74.99647914,40.85746195
Stanislaus,California,10-13-2022,Commercial Turkey Meat Bird,54900,CA,6099,-120.9979524,37.55851635
Williams,North Dakota,10-12-2023,WOAH Non-Poultry,10,ND,38105,-103.4801272,48.34373147
Weld,Colorado,10-12-2023,WOAH Non-Poultry,30,CO,8123,-104.3930144,40.55487277
Hamlin,South Dakota,10-12-2022,WOAH Non-Poultry,20,SD,46057,-97.18829593,44.67385954
Beadle,South Dakota,10-12-2022,Commercial Turkey Meat Bird,71400,SD,46005,-98.27883711,44.41467039
Genesee,Michigan,10-12-2022,WOAH Non-Poultry,20,MI,26049,-83.70652806,43.02216976
Fremont,Wyoming,10-12-2022,WOAH Non-Poultry,30,WY,56013,-108.6304217,43.04055711
Sanpete,Utah,10-12-2022,Commercial Turkey Meat Bird,52800,UT,49039,-111.5763852,39.37372605
Weld,Colorado,10-12-2022,WOAH Non-Poultry,40,CO,8123,-104.3930144,40.55487277
Meeker,Minnesota,10-11-2023,Commercial Turkey Meat Bird,115000,MN,27093,-94.52871063,45.12332877
