,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
59,Bates,Missouri,2022-12-21,WOAH Non-Poultry,30,MO,29013,-94.34015625,38.25742352
60,St. Clair,Illinois,2022-12-21,WOAH Non-Poultry,60,IL,17163,-89.92848248,38.4703223
61,Chippewa,Minnesota,2024-12-20,Commercial Turkey Meat Bird,54800,MN,27023,-95.56698141,45.0223965
62,Greene,Mississippi,2024-12-20,Commercial Broiler Breeder,26000,MS,28041,-88.63921416,31.21420839
63,Craighead,Arkansas,2024-12-20,WOAH Non-Poultry,50,AR,5031,-90.63270647,35.8310138
64,Sedgwick,Kansas,2024-12-20,WOAH Non-Poultry,30,KS,20173,-97.46083703,37.68448116
65,Cooper,Missouri,2024-12-20,Commercial Turkey Breeder Hens,13000,MO,29053,-92.80985416,38.84333073
66,Houston,Minnesota,2024-12-20,WOAH Non-Poultry,60,MN,27055,-91.49277553,43.67146528
67,Merced,California,2023-12-20,Commercial Table Egg Layer,243300,CA,6047,-120.7175058,37.19189197
68,Benton,Oregon,2023-12-20,WOAH Non-Poultry,50,OR,41003,-123.428743,44.49161157
69,Charles Mix,South Dakota,2023-12-20,Commercial Upland Gamebird Producer,50,SD,46023,-98.58785039,43.20792726
70,Merced,California,2023-12-20,Commercial Turkey Meat Bird,73700,CA,6047,-120.7175058,37.19189197
71,Mahaska,Iowa,2023-12-20,WOAH Non-Poultry,30,IA,19123,-92.64083907,41.33521502
72,Gem,Idaho,2022-12-20,WOAH Non-Poultry,80,ID,16045,-116.3979457,44.0602805
73,Hanson,South Dakota,2022-12-20,Commercial Turkey Meat Bird,31800,SD,46061,-97.78704306,43.67458361
74,Weld,Colorado,2022-12-20,Commercial Table Egg Layer,239700,CO,8123,-104.3930144,40.55487277
75,Kenosha,Wisconsin,2024-12-19,WOAH Poultry,6,WI,55059,-88.04209555,42.57659172
76,Jackson,Arkansas,2024-12-19,WOAH Non-Poultry,230,AR,5067,-91.21423884,35.59923757
77,Stearns,Minnesota,2024-12-19,Commercial Turkey Meat Bird,12600,MN,27145,-94.61299658,45.55199481
78,Stanislaus,California,2024-12-19,Commercial Table Egg Layer,295800,CA,6099,-120.9979524,37.55851635
79,Fillmore,Minnesota,2024-12-19,Commercial Turkey Meat Bird,28600,MN,27045,-92.08990525,43.6739576
80,Greene,Ohio,2024-12-19,WOAH Poultry,110,OH,39057,-83.88969073,39.69132786
81,Pickens,Alabama,2024-12-19,WOAH Non-Poultry,50,AL,1107,-88.08923504,33.28058298
82,Cullman,Alabama,2024-12-19,Commercial Broiler Production,116000,AL,1043,-86.86718877,34.13183982
83,Coos,Oregon,2024-12-19,WOAH Non-Poultry,40,OR,41011,-124.0595871,43.17396579
84,Deschutes,Oregon,2024-12-19,WOAH Non-Poultry,90,OR,41017,-121.227881,43.91469217
85,Muskegon,Michigan,2023-12-19,Commercial Turkey Meat Bird,47900,MI,26121,-86.1519783,43.2913812
86,Barton,Kansas,2023-12-19,WOAH Non-Poultry,70,KS,20009,-98.75632156,38.478934
87,King,Washington,2023-12-19,WOAH Poultry,90,WA,53033,-121.8063614,47.49034831
88,Sonoma,California,2023-12-19,Commercial Duck Meat Bird,3600,CA,6097,-122.8872965,38.52842052
